"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H5","IND","2620","India","WLD"," World",2020,"Export",6,9651.969
"H5","IND","2620","India","WLD"," World",2021,"Export",6,19672.849
"H5","IND","2620","India","WLD"," World",2022,"Export",6,47601.835
"H5","IND","2620","India","WLD"," World",2023,"Export",6,36130.673
"H5","IND","2620","India","WLD"," World",2024,"Export",6,27933.119
"H5","IND","2621","India","WLD"," World",2017,"Export",6,30223.558
"H5","IND","2621","India","WLD"," World",2018,"Export",6,44237.548
"H5","IND","2621","India","WLD"," World",2019,"Export",6,39480.392
"H5","IND","2621","India","WLD"," World",2020,"Export",6,66705.981
"H5","IND","2621","India","WLD"," World",2021,"Export",6,85133.098
"H5","IND","2621","India","WLD"," World",2022,"Export",6,80291.615
"H5","IND","2621","India","WLD"," World",2023,"Export",6,83754.389
"H5","IND","2621","India","WLD"," World",2024,"Export",6,73986.166
"H5","IND","2701","India","WLD"," World",2017,"Export",6,87505.587
"H5","IND","2701","India","WLD"," World",2018,"Export",6,92642.41
"H5","IND","2701","India","WLD"," World",2019,"Export",6,90700.375
"H5","IND","2701","India","WLD"," World",2020,"Export",6,68974.978
"H5","IND","2701","India","WLD"," World",2021,"Export",6,98214.988
"H5","IND","2701","India","WLD"," World",2022,"Export",6,181315.896
"H5","IND","2701","India","WLD"," World",2023,"Export",6,194459.233
"H5","IND","2701","India","WLD"," World",2024,"Export",6,230496.906
"H5","IND","2702","India","WLD"," World",2017,"Export",6,5042.004
"H5","IND","2702","India","WLD"," World",2018,"Export",6,3595.107
"H5","IND","2702","India","WLD"," World",2019,"Export",6,3817.377
"H5","IND","2702","India","WLD"," World",2020,"Export",6,4185.552
"H5","IND","2702","India","WLD"," World",2021,"Export",6,2674.453
"H5","IND","2702","India","WLD"," World",2022,"Export",6,1506.361
"H5","IND","2702","India","WLD"," World",2023,"Export",6,1569.979
"H5","IND","2702","India","WLD"," World",2024,"Export",6,454.82
"H5","IND","2703","India","WLD"," World",2017,"Export",6,0.289
"H5","IND","2703","India","WLD"," World",2018,"Export",6,2.913
"H5","IND","2703","India","WLD"," World",2019,"Export",6,3.293
"H5","IND","2703","India","WLD"," World",2020,"Export",6,6.813
"H5","IND","2703","India","WLD"," World",2021,"Export",6,3.651
"H5","IND","2703","India","WLD"," World",2022,"Export",6,44.63
"H5","IND","2703","India","WLD"," World",2023,"Export",6,1.184
"H5","IND","2703","India","WLD"," World",2024,"Export",6,6.855
"H5","IND","2704","India","WLD"," World",2017,"Export",6,16141.136
"H5","IND","2704","India","WLD"," World",2018,"Export",6,22225.253
"H5","IND","2704","India","WLD"," World",2019,"Export",6,28104.439
"H5","IND","2704","India","WLD"," World",2020,"Export",6,24109.753
"H5","IND","2704","India","WLD"," World",2021,"Export",6,515694.412
"H5","IND","2704","India","WLD"," World",2022,"Export",6,282307.428
"H5","IND","2704","India","WLD"," World",2023,"Export",6,42254.631
"H5","IND","2704","India","WLD"," World",2024,"Export",6,44587.375
"H5","IND","2705","India","WLD"," World",2018,"Export",6,17.856
"H5","IND","2705","India","WLD"," World",2021,"Export",6,0.027
"H5","IND","2705","India","WLD"," World",2023,"Export",6,0.009
"H5","IND","2706","India","WLD"," World",2017,"Export",6,1706.05
"H5","IND","2706","India","WLD"," World",2018,"Export",6,2169.535
"H5","IND","2706","India","WLD"," World",2019,"Export",6,1816.457
